iter	Passed	Remaining
571	4259	3187
572	4264	3178
573	4271	3170
574	4277	3161
575	4282	3152
576	4289	3144
577	4294	3135
578	4300	3126
579	4306	3118
580	4311	3109
581	4317	3100
582	4322	3091
583	4327	3082
584	4333	3074
585	4339	3065
586	4345	3057
587	4351	3049
588	4357	3040
589	4363	3032
590	4369	3024
591	4375	3015
592	4380	3006
593	4387	2998
594	4392	2990
595	4400	2982
596	4407	2975
597	4415	2968
598	4420	2959
599	4425	2950
600	4432	2942
601	4438	2934
602	4443	2925
603	4449	2917
604	4455	2908
605	4460	2900
606	4466	2891
607	4471	2882
608	4477	2874
609	4482	2865
610	4487	2857
611	4493	2848
612	4499	2840
613	4504	2831
614	4511	2823
615	4516	2815
616	4521	2806
617	4528	2799
618	4533	2790
619	4540	2782
620	4546	2774
621	4552	2766
622	4558	2758
623	4563	2750
624	4570	2742
625	4577	2734
626	4582	2726
627	4587	2717
628	4594	2709
629	4599	2701
630	4604	2692
631	4610	2684
632	4616	2676
633	4622	2668
634	4627	2660
635	4633	2651
636	4640	2644
637	4645	2635
638	4650	2627
639	4657	2619
640	4662	2611
641	4667	2602
642	4674	2595
643	4679	2586
644	4685	2578
645	4690	2570
646	4696	2562
647	4702	2554
648	4707	2546
649	4713	2537
650	4719	2530
651	4724	2521
652	4730	2513
653	4736	2506
654	4742	2497
655	4747	2489
656	4754	2482
657	4759	2474
658	4767	2467
659	4772	2458
660	4778	2450
661	4784	2443
662	4790	2434
663	4799	2428
664	4804	2420
665	4810	2412
666	4817	2404
667	4822	2396
668	4827	2388
669	4833	2380
670	4839	2372
671	4845	2365
672	4850	2356
673	4856	2348
674	4862	2341
675	4868	2333
676	4873	2325
677	4880	2317
678	4887	2310
679	4892	2302
680	4900	2295
681	4905	2287
682	4912	2280
683	4918	2272
684	4923	2264
685	4930	2256
686	4935	2248
687	4941	2240
688	4947	2233
689	4952	2225
690	4960	2218
691	4965	2210
692	4971	2202
693	4978	2194
694	4983	2187
695	4989	2179
696	4994	2171
697	5000	2163
698	5011	2158
699	5017	2150
700	5025	2143
701	5030	2135
702	5036	2127
703	5042	2120
704	5047	2112
705	5053	2104
706	5059	2096
707	5064	2088
708	5070	2081
709	5076	2073
710	5081	2065
711	5088	2058
712	5093	2050
713	5099	2042
714	5106	2035
715	5112	2027
716	5118	2020
717	5123	2012
718	5129	2004
719	5136	1997
720	5141	1989
721	5146	1981
722	5153	1974
723	5159	1966
724	5165	1959
725	5171	1951
726	5176	1943
727	5186	1937
728	5192	1930
729	5199	1923
730	5205	1915
731	5210	1907
732	5217	1900
733	5222	1892
734	5227	1884
735	5234	1877
736	5239	1869
737	5244	1861
738	5251	1854
739	5256	1846
740	5262	1839
741	5267	1831
742	5272	1823
743	5279	1816
744	5284	1808
745	5289	1801
746	5296	1793
747	5301	1786
748	5307	1778
749	5313	1771
750	5319	1763
751	5324	1755
752	5330	1748
753	5335	1740
754	5341	1733
755	5347	1725
756	5352	1718
757	5358	1710
758	5365	1703
759	5371	1696
760	5380	1689
761	5385	1682
762	5392	1675
763	5397	1667
764	5403	1659
765	5410	1652
766	5415	1645
767	5420	1637
768	5427	1630
769	5432	1622
770	5438	1615
771	5443	1607
772	5449	1600
773	5455	1592
774	5460	1585
775	5465	1577
776	5472	1570
777	5478	1563
778	5483	1555
779	5490	1548
780	5495	1540
781	5500	1533
782	5507	1526
783	5512	1518
784	5517	1511
785	5523	1503
786	5529	1496
787	5534	1489
788	5540	1481
789	5545	1474
790	5552	1466
791	5557	1459
792	5564	1452
793	5571	1445
794	5577	1438
795	5583	1430
796	5589	1423
797	5594	1416
798	5601	1409
799	5607	1401
800	5612	1394
801	5619	1387
802	5624	1379
803	5630	1372
804	5636	1365
805	5641	1357
806	5647	1350
807	5652	1343
808	5658	1335
809	5664	1328
810	5669	1321
811	5675	1314
812	5682	1306
813	5687	1299
814	5692	1292
815	5699	1285
816	5704	1277
817	5710	1270
818	5716	1263
819	5721	1256
820	5728	1248
821	5733	1241
822	5739	1234
823	5746	1227
824	5751	1220
825	5756	1212
826	5763	1205
827	5768	1198
828	5773	1190
829	5780	1183
830	5786	1176
831	5792	1169
832	5798	1162
833	5817	1157
834	5826	1151
835	5832	1144
836	5840	1137
